date_key,full_date,year,month_number,month_name,year_month,week_number,day_of_month,day_of_week
20151102,2015-11-02,2015,11,November,2015-11,45,2,Monday
20151103,2015-11-03,2015,11,November,2015-11,45,3,Tuesday
20151104,2015-11-04,2015,11,November,2015-11,45,4,Wednesday
20151105,2015-11-05,2015,11,November,2015-11,45,5,Thursday
20151106,2015-11-06,2015,11,November,2015-11,45,6,Friday
20151107,2015-11-07,2015,11,November,2015-11,45,7,Saturday
20151108,2015-11-08,2015,11,November,2015-11,45,8,Sunday
20151109,2015-11-09,2015,11,November,2015-11,46,9,Monday
20151110,2015-11-10,2015,11,November,2015-11,46,10,Tuesday
20151111,2015-11-11,2015,11,November,2015-11,46,11,Wednesday
20151112,2015-11-12,2015,11,November,2015-11,46,12,Thursday
20151113,2015-11-13,2015,11,November,2015-11,46,13,Friday
20151114,2015-11-14,2015,11,November,2015-11,46,14,Saturday
20151115,2015-11-15,2015,11,November,2015-11,46,15,Sunday
20151116,2015-11-16,2015,11,November,2015-11,47,16,Monday
20151117,2015-11-17,2015,11,November,2015-11,47,17,Tuesday
20151118,2015-11-18,2015,11,November,2015-11,47,18,Wednesday
20151119,2015-11-19,2015,11,November,2015-11,47,19,Thursday
20151120,2015-11-20,2015,11,November,2015-11,47,20,Friday
20151121,2015-11-21,2015,11,November,2015-11,47,21,Saturday
20151122,2015-11-22,2015,11,November,2015-11,47,22,Sunday
20151123,2015-11-23,2015,11,November,2015-11,48,23,Monday
20151124,2015-11-24,2015,11,November,2015-11,48,24,Tuesday
20151125,2015-11-25,2015,11,November,2015-11,48,25,Wednesday
20151126,2015-11-26,2015,11,November,2015-11,48,26,Thursday
20151127,2015-11-27,2015,11,November,2015-11,48,27,Friday
20151128,2015-11-28,2015,11,November,2015-11,48,28,Saturday
20151129,2015-11-29,2015,11,November,2015-11,48,29,Sunday
20151130,2015-11-30,2015,11,November,2015-11,49,30,Monday
20151201,2015-12-01,2015,12,December,2015-12,49,1,Tuesday
20151202,2015-12-02,2015,12,December,2015-12,49,2,Wednesday
20151203,2015-12-03,2015,12,December,2015-12,49,3,Thursday
20151204,2015-12-04,2015,12,December,2015-12,49,4,Friday
20151205,2015-12-05,2015,12,December,2015-12,49,5,Saturday
20151206,2015-12-06,2015,12,December,2015-12,49,6,Sunday
20151207,2015-12-07,2015,12,December,2015-12,50,7,Monday
20151208,2015-12-08,2015,12,December,2015-12,50,8,Tuesday
20151209,2015-12-09,2015,12,December,2015-12,50,9,Wednesday
20151210,2015-12-10,2015,12,December,2015-12,50,10,Thursday
20151211,2015-12-11,2015,12,December,2015-12,50,11,Friday
20151212,2015-12-12,2015,12,December,2015-12,50,12,Saturday
20151213,2015-12-13,2015,12,December,2015-12,50,13,Sunday
20151214,2015-12-14,2015,12,December,2015-12,51,14,Monday
20151215,2015-12-15,2015,12,December,2015-12,51,15,Tuesday
20151216,2015-12-16,2015,12,December,2015-12,51,16,Wednesday
20151217,2015-12-17,2015,12,December,2015-12,51,17,Thursday
20151218,2015-12-18,2015,12,December,2015-12,51,18,Friday
20151219,2015-12-19,2015,12,December,2015-12,51,19,Saturday
20151220,2015-12-20,2015,12,December,2015-12,51,20,Sunday
20151221,2015-12-21,2015,12,December,2015-12,52,21,Monday
20151222,2015-12-22,2015,12,December,2015-12,52,22,Tuesday
20151223,2015-12-23,2015,12,December,2015-12,52,23,Wednesday
20151224,2015-12-24,2015,12,December,2015-12,52,24,Thursday
20151225,2015-12-25,2015,12,December,2015-12,52,25,Friday
20151226,2015-12-26,2015,12,December,2015-12,52,26,Saturday
20151227,2015-12-27,2015,12,December,2015-12,52,27,Sunday
20151228,2015-12-28,2015,12,December,2015-12,53,28,Monday
20151229,2015-12-29,2015,12,December,2015-12,53,29,Tuesday
20151230,2015-12-30,2015,12,December,2015-12,53,30,Wednesday
20151231,2015-12-31,2015,12,December,2015-12,53,31,Thursday
20160101,2016-01-01,2016,1,January,2016-01,53,1,Friday
20160102,2016-01-02,2016,1,January,2016-01,53,2,Saturday
20160103,2016-01-03,2016,1,January,2016-01,53,3,Sunday
20160104,2016-01-04,2016,1,January,2016-01,1,4,Monday
20160105,2016-01-05,2016,1,January,2016-01,1,5,Tuesday
20160106,2016-01-06,2016,1,January,2016-01,1,6,Wednesday
20160107,2016-01-07,2016,1,January,2016-01,1,7,Thursday
20160108,2016-01-08,2016,1,January,2016-01,1,8,Friday
20160109,2016-01-09,2016,1,January,2016-01,1,9,Saturday
20160110,2016-01-10,2016,1,January,2016-01,1,10,Sunday
20160111,2016-01-11,2016,1,January,2016-01,2,11,Monday
20160112,2016-01-12,2016,1,January,2016-01,2,12,Tuesday
20160113,2016-01-13,2016,1,January,2016-01,2,13,Wednesday
20160114,2016-01-14,2016,1,January,2016-01,2,14,Thursday
20160115,2016-01-15,2016,1,January,2016-01,2,15,Friday
20160116,2016-01-16,2016,1,January,2016-01,2,16,Saturday
20160117,2016-01-17,2016,1,January,2016-01,2,17,Sunday
20160118,2016-01-18,2016,1,January,2016-01,3,18,Monday
20160119,2016-01-19,2016,1,January,2016-01,3,19,Tuesday
20160120,2016-01-20,2016,1,January,2016-01,3,20,Wednesday
20160121,2016-01-21,2016,1,January,2016-01,3,21,Thursday
20160122,2016-01-22,2016,1,January,2016-01,3,22,Friday
20160123,2016-01-23,2016,1,January,2016-01,3,23,Saturday
20160124,2016-01-24,2016,1,January,2016-01,3,24,Sunday
20160125,2016-01-25,2016,1,January,2016-01,4,25,Monday
20160126,2016-01-26,2016,1,January,2016-01,4,26,Tuesday
20160127,2016-01-27,2016,1,January,2016-01,4,27,Wednesday
20160128,2016-01-28,2016,1,January,2016-01,4,28,Thursday
20160129,2016-01-29,2016,1,January,2016-01,4,29,Friday
20160130,2016-01-30,2016,1,January,2016-01,4,30,Saturday
20160131,2016-01-31,2016,1,January,2016-01,4,31,Sunday
20160201,2016-02-01,2016,2,February,2016-02,5,1,Monday
20160202,2016-02-02,2016,2,February,2016-02,5,2,Tuesday
20160203,2016-02-03,2016,2,February,2016-02,5,3,Wednesday
20160204,2016-02-04,2016,2,February,2016-02,5,4,Thursday
20160205,2016-02-05,2016,2,February,2016-02,5,5,Friday
20160206,2016-02-06,2016,2,February,2016-02,5,6,Saturday
20160207,2016-02-07,2016,2,February,2016-02,5,7,Sunday
20160208,2016-02-08,2016,2,February,2016-02,6,8,Monday
20160209,2016-02-09,2016,2,February,2016-02,6,9,Tuesday
20160210,2016-02-10,2016,2,February,2016-02,6,10,Wednesday
20160211,2016-02-11,2016,2,February,2016-02,6,11,Thursday
20160212,2016-02-12,2016,2,February,2016-02,6,12,Friday
20160213,2016-02-13,2016,2,February,2016-02,6,13,Saturday
20160214,2016-02-14,2016,2,February,2016-02,6,14,Sunday
20160215,2016-02-15,2016,2,February,2016-02,7,15,Monday
20160216,2016-02-16,2016,2,February,2016-02,7,16,Tuesday
20160217,2016-02-17,2016,2,February,2016-02,7,17,Wednesday
20160218,2016-02-18,2016,2,February,2016-02,7,18,Thursday
20160219,2016-02-19,2016,2,February,2016-02,7,19,Friday
20160220,2016-02-20,2016,2,February,2016-02,7,20,Saturday
20160221,2016-02-21,2016,2,February,2016-02,7,21,Sunday
20160222,2016-02-22,2016,2,February,2016-02,8,22,Monday
20160223,2016-02-23,2016,2,February,2016-02,8,23,Tuesday
20160224,2016-02-24,2016,2,February,2016-02,8,24,Wednesday
20160225,2016-02-25,2016,2,February,2016-02,8,25,Thursday
20160226,2016-02-26,2016,2,February,2016-02,8,26,Friday
20160227,2016-02-27,2016,2,February,2016-02,8,27,Saturday
20160228,2016-02-28,2016,2,February,2016-02,8,28,Sunday
20160229,2016-02-29,2016,2,February,2016-02,9,29,Monday
20160301,2016-03-01,2016,3,March,2016-03,9,1,Tuesday
20160302,2016-03-02,2016,3,March,2016-03,9,2,Wednesday
20160303,2016-03-03,2016,3,March,2016-03,9,3,Thursday
20160304,2016-03-04,2016,3,March,2016-03,9,4,Friday
20160305,2016-03-05,2016,3,March,2016-03,9,5,Saturday
20160306,2016-03-06,2016,3,March,2016-03,9,6,Sunday
20160307,2016-03-07,2016,3,March,2016-03,10,7,Monday
20160308,2016-03-08,2016,3,March,2016-03,10,8,Tuesday
20160309,2016-03-09,2016,3,March,2016-03,10,9,Wednesday
20160310,2016-03-10,2016,3,March,2016-03,10,10,Thursday
20160311,2016-03-11,2016,3,March,2016-03,10,11,Friday
20160312,2016-03-12,2016,3,March,2016-03,10,12,Saturday
20160313,2016-03-13,2016,3,March,2016-03,10,13,Sunday
20160314,2016-03-14,2016,3,March,2016-03,11,14,Monday
20160315,2016-03-15,2016,3,March,2016-03,11,15,Tuesday
20160316,2016-03-16,2016,3,March,2016-03,11,16,Wednesday
20160317,2016-03-17,2016,3,March,2016-03,11,17,Thursday
20160318,2016-03-18,2016,3,March,2016-03,11,18,Friday
20160319,2016-03-19,2016,3,March,2016-03,11,19,Saturday
20160320,2016-03-20,2016,3,March,2016-03,11,20,Sunday
20160321,2016-03-21,2016,3,March,2016-03,12,21,Monday
20160322,2016-03-22,2016,3,March,2016-03,12,22,Tuesday
20160323,2016-03-23,2016,3,March,2016-03,12,23,Wednesday
20160324,2016-03-24,2016,3,March,2016-03,12,24,Thursday
20160325,2016-03-25,2016,3,March,2016-03,12,25,Friday
20160326,2016-03-26,2016,3,March,2016-03,12,26,Saturday
20160327,2016-03-27,2016,3,March,2016-03,12,27,Sunday
20160328,2016-03-28,2016,3,March,2016-03,13,28,Monday
20160329,2016-03-29,2016,3,March,2016-03,13,29,Tuesday
